name,brand_name,price,rating,ram,ram_GB,rom_gb,expand_rom,display,display_size,display_type,camera,rear_camera,front_camera,battery,battery_mAh,processor,processor_name
"realme P2 Pro 5G (Eagle Grey, 128 GB)",realme,16999,4.4,8 GB RAM | 128 GB ROM,8,128,0,17.02 cm (6.7 inch) Full HD+ Display,17.02,Full HD+ Display,50MP + 8MP | 32MP Front Camera,50MP + 8MP ,32MP,5200 mAh Battery,5200 ,7s Gen2 Processor,7s Gen2 
"IQOO Neo 10 (Titanium Chrome, 256 GB)",iqoo,37262,4.5,12 GB RAM | 256 GB ROM,12,256,0,17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display,17.22,Display,50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera,50MP + 50MP + 8MP ,,7000 mAh Battery,7000 ,Qualcomm Processor,Qualcomm 
"Samsung Galaxy S24 5G (Onyx Black, 128 GB)",samsung,46999,4.6,8 GB RAM | 128 GB ROM,8,128,0,15.75 cm (6.2 inch) Full HD+ Display,15.75,Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,50MP + 10MP + 12MP ,12MP,4000 mAh Battery,4000 ,Exynos 2400 Processor,Exynos 2400 
"OPPO Reno14 5G (Pearl White, 256 GB)",oppo,39999,4.5,12 GB RAM | 256 GB ROM,12,256,0,16.74 cm (6.59 inch) Display,16.74,Display,50MP + 8MP + 50MP | 50MP Front Camera,50MP + 8MP + 50MP ,50MP,6000 mAh Battery,6000 ,Dimensity 8350 Processor,Dimensity 8350 
"Google Pixel 9A (Obsidian, 256 GB)",google,49999,4.4,8 GB RAM | 256 GB ROM,8,256,0,15.96 cm (6.285 inch) Full HD+ Display,15.96,Full HD+ Display,48MP + 12MP | 12MP Front Camera,48MP + 12MP ,12MP,5100 mAh Battery,5100 ,Tensor G4 Processor,Tensor G4 
"IQOO Z10 5G (Glacier Silver, 128 GB)",iqoo,22000,4.4,8 GB RAM | 128 GB ROM,8,128,0,17.02 cm (6.7 inch) Display,17.02,Display,50MP Rear Camera,50MP ,,7300 mAh Battery,7300 ,1 Year Warranty on Handset and 6 Months Warranty on Accessories,1 Year Warranty on Handset and 6 Months Warranty on Accessories
"OPPO F29 5G (Glacier Blue, 128 GB)",oppo,21999,4.3,8 GB RAM | 128 GB ROM,8,128,0,17.02 cm (6.7 inch) Full HD+ Display,17.02,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,6500 mAh Battery,6500 ,6 Gen 1 Processor,6 Gen 1 
"REDMI 14C 5G (Stardust Purple, 128 GB)",redmi,11580,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
"IQOO Z10 5G (Stellar Black / Black, 256 GB)",iqoo,23040,4.4,8 GB RAM | 256 GB ROM,8,256,0,17.2 cm (6.77 inch) Display,17.2,Display,50MP Rear Camera,50MP ,,7300 mAh Battery,7300 ,1 Year Warranty on Handset and 6 Months Warranty on Accessories,1 Year Warranty on Handset and 6 Months Warranty on Accessories
"POCO X7 Pro 5G (Yellow, 256 GB)",poco,23999,4.3,8 GB RAM | 256 GB ROM,8,256,0,16.94 cm (6.67 inch) Display,16.94,Display,50MP + 8MP | 20MP Front Camera,50MP + 8MP ,20MP,6550 mAh Battery,6550 ,Dimensity D8400 Ultra Processor,Dimensity D8400 Ultra 
"POCO M6 5G - Locked with Airtel Prepaid (Orion Blue, 128 GB)",poco,10499,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"REDMI 13C 5G (Startrail Green, 128 GB)",redmi,9999,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"REDMI 13C 5G (Startrail Silver, 128 GB)",redmi,9999,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"(Refurbished) POCO M6 5G (Polaris Green, 128 GB)",(refurbished),7999,,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,6.74 inch HD+ Display,17.12,HD+ Display,50MP Rear Camera,50MP ,,6.74 inch HD+ Display,6.74 inch HD+ Display,50MP Rear Camera,50MP Rear Camera
"REDMI 13C 5G (Starlight Black, 128 GB)",redmi,9999,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"realme 12x 5G (Woodland Green, 128 GB)",realme,11499,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6100+ Processor,Dimensity 6100+ 
"(Refurbished) MOTOROLA G34 5G (Ocean Green, 128 GB)",(refurbished),9099,,8 GB RAM | 128 GB ROM |,8,128,0,6.5 inch HD+ Display,16.51,HD+ Display,50MP + 2MP Dual Rear Camera | 16MP Front Camera,50MP + 2MP Dual ,16MP,6.5 inch HD+ Display,6.5 inch HD+ Display,50MP + 2MP Dual Rear Camera | 16MP Front Camera,50MP + 2MP Dual Rear Camera | 16MP Front Camera
"POCO M6 5G (Polaris Green, 128 GB)",poco,10499,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"realme 12x 5G (Coral Red, 128 GB)",realme,11499,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6100+ Processor,Dimensity 6100+ 
"realme 12x 5G (Twilight Purple, 128 GB)",realme,11499,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6100+ Processor,Dimensity 6100+ 
"POCO M6 5G (Galactic Black, 128 GB)",poco,10499,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"realme 12x 5G (Coral Red, 128 GB)",realme,10499,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,4,128,2048,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6100+ Processor,Dimensity 6100+ 
"CMF by Nothing Phone 1 (Light Green, 128 GB)",cmf,15999,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"CMF by Nothing Phone 1 (Blue, 128 GB)",cmf,15999,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"CMF by Nothing Phone 1 (Black, 128 GB)",cmf,15999,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"REDMI 12 5G (Pastel Blue, 256 GB)",redmi,,4.2,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,8,256,1024,17.25 cm (6.79 inch) Full HD+ Display,17.25,Full HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Snapdragon 4 Gen 2 Processor,Snapdragon 4 Gen 2 
"CMF by Nothing Phone 1 (Orange, 128 GB)",cmf,15999,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"REDMI 13C 5G (Startrail Green, 128 GB)",redmi,11299,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"realme 12x 5G (Twilight Purple, 128 GB)",realme,10499,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,4,128,2048,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6100+ Processor,Dimensity 6100+ 
"(Refurbished) POCO F4 5G (Night Black, 128 GB)",(refurbished),14999,,8 GB RAM | 128 GB ROM |,8,128,0,6.67 inch Full HD+ Display,16.94,Full HD+ Display,"64MP + 8, 2MP Dual Rear Camera | 20MP Front Camera","64MP + 8, 2MP Dual ",20MP,6.67 inch Full HD+ Display,6.67 inch Full HD+ Display,"64MP + 8, 2MP Dual Rear Camera | 20MP Front Camera","64MP + 8, 2MP Dual Rear Camera | 20MP Front Camera"
"REDMI 13C 5G (Starlight Black, 128 GB)",redmi,11299,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"REDMI 14C 5G (Stargaze Black, 128 GB)",redmi,10499,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
"POCO M6 5G (Polaris Green, 256 GB)",poco,13990,4.2,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,8,256,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"realme 12x 5G (Woodland Green, 128 GB)",realme,12499,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,8,128,2048,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6100+ Processor,Dimensity 6100+ 
"realme 12x 5G (Coral Red, 128 GB)",realme,12499,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,8,128,2048,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6100+ Processor,Dimensity 6100+ 
"POCO X6 Neo 5G (Horizon Blue, 256 GB)",poco,17999,4.2,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,12,256,1024,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,108MP + 2MP | 16MP Front Camera,108MP + 2MP ,16MP,5000 mAh Battery,5000 ,Dimensity 6080 Processor,Dimensity 6080 
"CMF by Nothing Phone 1 (Light Green, 128 GB)",cmf,17999,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,8,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"(Refurbished) POCO M6 Pro 5G (Power Black, 128 GB)",(refurbished),7899,,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.25 cm Full HD+ Display,17.25,Full HD+ Display,50MP + 2MP Dual Rear Camera | 8MP Front Camera,50MP + 2MP Dual ,8MP,17.25 cm Full HD+ Display,17.25 cm Full HD+ Display,50MP + 2MP Dual Rear Camera | 8MP Front Camera,50MP + 2MP Dual Rear Camera | 8MP Front Camera
"CMF by Nothing Phone 1 (Blue, 128 GB)",cmf,17999,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,8,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"realme 12x 5G (Twilight Purple, 128 GB)",realme,12499,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,8,128,2048,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6100+ Processor,Dimensity 6100+ 
"REDMI 13C 5G (Startrail Silver, 128 GB)",redmi,11299,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP Rear Camera | 5MP Front Camera,50MP ,5MP,5000 mAh Battery,5000 ,Mediatek Dimensity 6100+ Processor,Mediatek Dimensity 6100+ 
"OPPO Reno 12 5G (Astro Silver, 256 GB)",oppo,32999,4.4,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,8,256,1024,17.02 cm (6.7 inch) Full HD+ Display,17.02,Full HD+ Display,50MP + 8MP + 2MP | 32MP Front Camera,50MP + 8MP + 2MP ,32MP,5000 mAh Battery,5000 ,Dimensity 7300 Energy Processor,Dimensity 7300 Energy 
"POCO X6 Neo 5G (Horizon Blue, 128 GB)",poco,15999,4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,108MP + 2MP | 16MP Front Camera,108MP + 2MP ,16MP,5000 mAh Battery,5000 ,Dimensity 6080 Processor,Dimensity 6080 
"(Refurbished) POCO M6 Pro 5G (Forest Green, 128 GB)",(refurbished),7899,,6 GB RAM | 128 GB ROM |,6,128,0,17.25 cm Full HD+ Display,17.25,Full HD+ Display,50MP + 2MP Dual Rear Camera | 8MP Front Camera,50MP + 2MP Dual ,8MP,17.25 cm Full HD+ Display,17.25 cm Full HD+ Display,50MP + 2MP Dual Rear Camera | 8MP Front Camera,50MP + 2MP Dual Rear Camera | 8MP Front Camera
"CMF by Nothing Phone 1 (Black, 128 GB)",cmf,17999,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,8,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
